title,location,price,bedrooms,bathrooms,link
4 Bed House with Garage in Muthaiga,Muthaiga,"KSh 67,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-muthaiga-3552268
4 Bed Townhouse with Garage at Dickdick Gardens,"dickdick gardens, Kileleshwa","KSh 200,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kileleshwa-3558877
5 Bed Townhouse with Swimming Pool in Runda,"Runda, Westlands","KSh 120,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-runda-3488464
4 Bed Townhouse with Gym in Riara Road,Riara Road,"KSh 37,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-riara-road-3534498
4 Bed House with Garage in Kiambu Road,Kiambu Road,"KSh 21,945,000",4,2,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-10-3437597
5 Bed Townhouse with Garage in Brookside,"Brookside, Westlands","KSh 30,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-brookside-3559681
5 Bed House with Garage in South C,South C,"KSh 26,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-south-c-3478031
4 Bed Villa with Swimming Pool at Dennis Pritt Road,"Dennis pritt Road, Kilimani","KSh 35,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kilimani-3520489
5 Bed Townhouse with Garage in Westlands Area,"Westlands Area, Westlands","KSh 60,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3529855
5 Bed Villa with Garage in Garden Estate,"Garden Estate, Roysambu","KSh 75,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-garden-estate-3482731
4 Bed Townhouse with Gym in Langata,Langata,"KSh 35,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-langata-1-3483022
3 Bed House with Garage in South B,South B,"KSh 11,500,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-south-b-3528061
5 Bed Townhouse with Garage at Chalbi Drive,"Chalbi Drive, Lavington","KSh 68,500,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3516514
3 Bed House with Garage at Mushroom Road,"Mushroom Road, Kiambu Road","KSh 58,000,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kiambu-road-1-3458128
5 Bed House with Garage in Runda,"Nairobi, Runda, Westlands","KSh 125,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3488369
4 Bed House with Garage at Karen Road,"Karen Road, Karen","KSh 100,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3555332
4 Bed Townhouse with Garage in South C,South C,"KSh 25,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-south-c-7-3462943
6 Bed Villa with Gym at Lower Kabete,"65, Lower kabete, Lower Kabete, Westlands","KSh 250,000,000",6,7,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-lower-kabete-3560662
5 Bed Townhouse with Garage in Kileleshwa,Kileleshwa,"KSh 60,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kileleshwa-3559737
5 Bed Townhouse with Garage at Matundu Lane,"Matundu Lane, Brookside, Westlands","KSh 37,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-brookside-3559555
4 Bed Townhouse with Garage at Rhapta Road,"Rhapta Road, Westlands Area, Westlands","KSh 32,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3537696
5 Bed House with Gym at Panafrican Road,"89, Panafrican Road, Runda, Westlands","KSh 650,000,000",5,,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3557113
5 Bed Townhouse with Garage at Off Peponi Rd,"N/A, Off Peponi Rd, Westlands Area, Westlands","KSh 68,500,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3511417
6 Bed House with Gym at Kyuna Road,"Kyuna road, Kyuna, Westlands","KSh 300,000,000",6,7,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-kyuna-3558388
4 Bed House with Garage in Garden Estate,"Garden Estate, Roysambu","KSh 55,000,000",4,,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-garden-estate-3551076
4 Bed House with Garage at Mimosa,"Mimosa, Runda, Westlands","KSh 90,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3560994
5 Bed House with Garage at Ngiri Road,"Ngiri Road, Karen Hardy","KSh 140,220,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-hardy-3537116
5 Bed House with Garage in Loresho,"Loresho, Westlands","KSh 75,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-loresho-3508662
7 Bed House with Garden in Lower Kabete,"Lower Kabete, Westlands","KSh 98,000,000",7,4,https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-lower-kabete-3545346
4 Bed House with Garage at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road","KSh 25,500,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-5-3432656
5 Bed Townhouse with Balcony in Brookside,"Brookside, Westlands","KSh 35,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-brookside-3560321
5 Bed Villa with Swimming Pool in Lower Kabete,"Lower Kabete, Westlands","KSh 160,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lower-kabete-3475052
3 Bed Villa with Swimming Pool at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road","KSh 26,500,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-kiambu-road-3558028
3 Bed House with Gym in Pangani,"Pangani, Ngara","KSh 9,000,000",3,,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-pangani-3556190
